4554,UBE2W
4555,PITPNB
4556,SKIC2
4557,H3C3
4558,TLK2
4559,RAB14
4560,ACTR5
4561,SH3BGRL3
4562,IQGAP3
4563,CD3D
4564,CLUAP1
4565,ATG13
4566,STAT4
4567,SCYL2
4568,PBXIP1
4569,TNIP3
4570,HLA-E
4571,SELL
4572,MYBL2
4573,ZNF235
4574,IKBIP
4575,HTATIP2
4576,PKIG
4577,MEAK7
4578,CHRNA7
4579,AP3S2
4580,TSPOAP1
4581,RPAP2
4582,NDUFS6
4583,PHF12
4584,PRDM1
4585,STOML2
4586,TRAPPC12
4587,GPR39
4588,ZNF629
4589,NDRG2
4590,PTOV1
4591,PRPSAP2
4592,MTR
4593,ENPP1
4594,DNAJB14
4595,POGLUT2
4596,TLR9
4597,TPRKB
4598,TMEM230
4599,SHANK1
4600,CWC15
4601,YBX2
4602,SNTA1
4603,HUS1
4604,ZFP64
4605,GPAA1
4606,ATP13A2
4607,DHX15
4608,LRP1B
4609,NEK9
4610,SLIRP
4611,MLXIP
4612,F11R
4613,STXBP4
4614,FBXO38
4615,MID1IP1
4616,USP19
4617,PPP1R26
4618,PSTPIP2
4619,UVSSA
4620,SLC12A6
4621,FBXL16
4622,PPFIA4
4623,PTCD3
4624,YARS1
4625,SRPX2
4626,UBA3
4627,PARP2
4628,FOXG1
4629,H1-4
4630,CALCR
4631,VRK2
4632,WLS
4633,RNF180
4634,RPS4Y2
4635,SKI
4636,NAA10
4637,PSMB2
4638,PSMB3
4639,TUBGCP4
4640,PCGF2
4641,MRPL36
4642,MPDZ
4643,EPCAM
4644,NECAB1
4645,NR1I2
4646,TMEM11
4647,KIF14
4648,TRAPPC6A
4649,ADRA2A
4650,ROR2
4651,ZBP1
4652,RRP1B
4653,SAP30BP
4654,SAP130
4655,CRISP1
4656,REEP2
4657,TRIB3
4658,SCML2
4659,HAMP
4660,RAP1GAP2
4661,RCC2
4662,UBE2L6
4663,CENPS
4664,SORBS2
4665,TAGAP
4666,PXMP2
4667,CPT1A
4668,ZNF91
4669,STK39
4670,MRPL33
4671,CYP11A1
4672,MRPL35
4673,TBC1D4
4674,ARHGAP6
4675,ANKLE2
4676,UBE2A
4677,PHF20L1
4678,DNTTIP1
4679,MORF4L1
4680,ABCF1
4681,PJA2
4682,RCN1
4683,TRIO
4684,EIF3F
4685,SLC39A8
4686,CDK8
4687,KIF23
4688,SGSM1
4689,KLF5
4690,PIGF
4691,EPG5
4692,SYNPO
4693,TUBGCP6
4694,PKIB
4695,ASAP1
4696,KPNA3
4697,PHF3
4698,FLRT2
4699,ADGRA3
4700,COTL1
4701,MRPL30
4702,CDC45
4703,DRAP1
4704,TMEM63A
4705,FSCN2
4706,LIN7A
4707,HEG1
4708,CHMP7
4709,NIP7
4710,ACTR8
4711,KL
4712,FTO
4713,BTG2
4714,MMS22L
4715,MIA2
4716,DKKL1
4717,ACADS
4718,AAK1
4719,SLIT2
4720,OSBPL7
4721,CDKN1C
4722,SERPINA7
4723,PRB4
4724,AUP1
4725,RPGR
4726,GJD2
4727,RPGRIP1L
4728,CRMP1
4729,CEP41
4730,PTPRQ
4731,RORA
4732,POGLUT3
4733,NRAP
4734,MYPN
4735,FBXO8
4736,TRIM23
4737,PITPNM2
4738,PPP1R16A
4739,CEP70
4740,TMX4
4741,BBS4
4742,SMC6
4743,BRD3
4744,ZNF335
4745,REEP6
4746,CDK11A
4747,PSMA2
4748,CAST
4749,KAZN
4750,MXD3
4751,PCBP4
4752,MSBP1
4753,DRD3
4754,PSMA4
4755,PPL
4756,AOC3
4757,STMN2
4758,QKI
4759,TMEM107
4760,ZNF462
4761,NDUFV1
4762,MRPL53
4763,PRDX5
4764,ALG3
4765,ATP2A2
4766,HIKESHI
4767,CEP104
4768,BEST1
4769,WDR26
4770,NEUROD1
4771,FBXO42
4772,PGM3
4773,CENPT
4774,SEH1L
4775,MRPS36
4776,ADGRG3
4777,RAB5C
4778,EDNRB
4779,KNL1
4780,DUSP3
4781,TARBP1
4782,HSPA12A
4783,SH3RF2
4784,CDK14
4785,TBL1X
4786,CHD9
4787,PLP2
4788,ARHGAP9
4789,KRTCAP2
4790,POT1
4791,MYL2
4792,FSTL1
4793,POC1B
4794,KALRN
4795,PTPN20
4796,DAZL
4797,H3C6
4798,DDR2
4799,FOXA1
4800,KCNJ3
4801,EPM2AIP1
4802,ZFP42
4803,SCN2A
4804,RNASEL
4805,LDHB
4806,RFT1
4807,TRAM2
4808,HBG2
4809,ANPEP
4810,NFATC1
4811,DNAJC11
4812,ACRV1
4813,MOG
4814,PODXL
4815,RFC4
4816,WBP1
4817,CLK2
4818,ZFPL1
4819,OSBPL10
4820,JAKMIP1
4821,NOL3
4822,GMNN
4823,PDILT
4824,GPR162
4825,QDPR
4826,LUZP1
4827,UBXN8
4828,PAF1
4829,ADGRF3
4830,MAFB
4831,UBE2G1
4832,USP11
4833,TFPI
4834,KPRP
4835,DIP2B
4836,TENM1
4837,RPAIN
4838,ARL1
4839,SPTBN2
4840,CDT1
4841,HIPK4
4842,RBM26
4843,AKAP14
4844,SUGT1
4845,SRP68
4846,CRHR1
4847,RABGAP1L
4848,MTM1
4849,TGFB3
4850,ZNF644
4851,CLK1
4852,GYPA
4853,SNTB2
4854,DOK5
4855,EDNRA
4856,ELP1
4857,FBXW2
4858,TJAP1
4859,TENM4
4860,RCBTB1
4861,RNFT1
4862,CDR2
4863,SEMG1
4864,DHX16
4865,AOPEP
4866,MCMBP
4867,MTUS2
4868,EHMT1
4869,ABCD4
4870,PAIP2B
4871,SCNN1A
4872,C5
4873,TMED5
4874,BOLL
4875,HPX
4876,MASP1
4877,DDX41
4878,CLASRP
4879,VEGFC
4880,MRAP2
4881,OBSCN
4882,ADAMTS1
4883,COPZ1
4884,CENPI
4885,CYP17A1
4886,PRRT1
4887,PINX1
4888,YIF1B
4889,ARL3
4890,HNRNPA3
4891,GDI1
4892,ERLIN1
4893,RPL36A-HNRNPH2
4894,CEP85L
4895,HCLS1
4896,MYBPH
4897,IL2RG
4898,SYNC
4899,PTBP3
4900,RBM47
4901,GJB4
4902,ZNF536
4903,GPSM3
4904,DCSTAMP
4905,SCD
4906,PEPD
4907,SEC61G
4908,PHC2
4909,DIAPH1
4910,PLCB3
4911,PEBP4
4912,GRAP
4913,TMEM209
4914,PPP1R37
4915,ERGIC1
4916,RILPL2
4917,POC1A
4918,GTF2A1
4919,AMOT
4920,MPP4
4921,COG6
4922,ACTR10
4923,AGO1
4924,WRAP53
4925,CLIP3
4926,PSPC1
4927,GFM1
4928,ZDHHC5
4929,UGGT1
4930,F12
4931,KCNJ6
4932,CLPX
4933,KISS1
4934,ADGRG5
4935,ARHGAP11A
4936,SLC34A2
4937,MCAT
4938,TNKS2
4939,EIF3M
4940,FGF7
4941,RBMS3
4942,RAB13
4943,HABP4
4944,PRICKLE1
4945,MYOZ2
4946,PRPF3
4947,CDKN2AIP
4948,EXOSC1
4949,ZNF331
4950,PHF14
4951,TCL1A
4952,MED14
4953,CA9
4954,HOXA10
4955,TNXB
4956,DYNC2H1
4957,TRPV6
4958,GET1
4959,LYRM4
4960,ARL2
4961,TXN2
4962,SH3BGRL2
4963,PABPC1L
4964,PDP1
4965,SLC25A11
4966,UBXN11
4967,FGF23
