GeneSymbol,gene_expression
DNASE1L1,4.030893613882923
DDX11,5.079420094288897
HEBP1,4.818062198980313
GPRC5A,3.8394143062825012
MAMLD1,1.480413373393111
CD6,0.3294769883404172
TACC3,5.927578605432827
UFL1,3.813032907340454
POLA2,4.4130705455385195
ZC3H3,3.1484050338442597
CAPN1,6.293087997806137
ACP3,0.9273218990241383
MDH1,7.551378445547973
SLC30A9,4.774348976192052
MTMR11,2.6163002812746097
COX15,4.057609147421831
CCDC88C,2.853707837175802
YAF2,3.664755375074391
ZMYND11,4.605950845555814
WAS,1.2810520835012498
DPEP1,0.6281311329043429
BID,5.105660349935793
MATR3,7.210970971507004
NPC1L1,0.23665843360335034
XYLT2,3.825938456743475
RGPD5,3.2872958829290413
STMN4,0.24583211600189295
NUDCD3,5.204220704590664
ISL1,0.8394490143912055
CHDH,0.9933169004286906
IL20RA,0.8343910749583098
CLCA1,0.06866562531553788
CLCA4,0.10144788843923237
GLT8D1,5.403571741931009
ATP2C1,5.664193078956238
IGF1,0.4102732261697636
SLC38A5,2.5701751371573143
RALBP1,4.874972984213354
RUFY3,3.9158665706162377
CNTN1,1.0617928468463151
SLC11A1,0.30077051740956634
WWTR1,3.9618903103581378
AGPS,4.9533298714191565
CXorf56,4.095708986314141
ATP1A2,0.1668281171292709
TTC27,3.624498462601936
ZNF582,0.9395955320602508
VSIG2,0.46174457760367
PHLDB1,4.032454686068464
MARCO,0.23589940381141924
CYP24A1,1.43489734474039
PRDM11,1.6613645771066152
SYT13,0.8044494941547391
SNAI2,2.49604436701201
CD74,3.996400215432559
HGF,0.7846483719710549
ZRANB1,3.0280547316254935
NCDN,4.019537741171482
ADGRA2,1.3273388243353308
ZFP64,3.6797631110292173
MNAT1,5.196182136459084
SAMD4A,2.7475813120761554
RUNX3,1.7646429990670491
MRE11,3.9468493179526005
PLEKHB1,1.9685007642013508
SERPINB1,4.297273952186379
CYP3A43,0.023455616530572397
SLC7A9,0.2521708325735574
SPAST,3.081563555673965
NRXN3,0.9824140716330855
OSBPL5,2.6619452134905073
AQR,3.8438770477872066
CPS1,1.7755986908145758
C8B,0.024037838651969425
FHL1,3.425021995856497
RTF2,6.231108419229698
GABRA1,0.07879724821455333
NLRP2,1.6212496119722004
SLC45A4,1.9133066716687208
RNF10,6.474528294228795
ZNF839,3.2256369629038715
ZDHHC6,4.8437244717918935
GRAMD1B,1.6957491988392805
RNH1,6.365388686768193
NDUFS1,5.768719414922979
RB1CC1,4.041419305742227
ERP44,4.113884790174212
ALAS1,5.1860753811284335
BIRC3,2.852277998677238
AKAP11,3.0704110410031458
GLRX2,4.327960421578285
SNAPC1,3.7248077124618364
DERA,5.109850485880674
STRAP,6.9104523550184815
ABCC2,1.6475746843720716
DEF6,2.461643424517353
PLEKHO1,3.3913904410795612
GCLM,3.8041080730665957
UBR2,3.1973684154243283
EHD2,3.4634738396097333
DEPDC1,4.044859445836196
CCDC28A,3.980257589310625
RRAGD,2.086731214207856
HSF2,3.5836115597177494
PHF20,4.788978262708036
HSD17B6,1.3699481946997034
NR1H3,3.30023224296415
TYMP,2.824838963768125
NCAPH2,5.040650844319756
TOMM34,5.447648453575147
SEC63,5.004709619313557
KPNA6,4.163769962471012
VIM,7.405662146389054
FAS,3.209024168664769
RNASET2,4.709709325135586
CD44,6.460075218407997
KCNG1,1.9308962349393248
AGPAT4,1.764330149012936
SLAMF7,0.9225650230027402
BTN3A1,3.306584474216757
MIPEP,3.6740479764630525
PRKCH,2.4982677151201713
INSRR,0.0968667620389788
IFNGR1,5.223171558462848
B4GALT7,4.248482792032875
SH2D2A,1.534326386807283
VRK2,4.020448770691127
TNFRSF1B,1.4711965538696006
VEZT,5.176646501652726
POU2F2,1.220332730970978
BRD9,4.937059390597594
SNX1,5.491015623565969
TBPL1,4.839953959409718
ARNTL2,3.3775780855489432
BCLAF1,5.687176820195688
SLC39A9,4.815944061975393
ANK1,1.285368784069812
IBSP,0.1323408829366327
TFB1M,3.4825302214469374
RABEP1,4.463273117785047
HMGB3,6.440634451652175
NUP160,4.735457297308409
BAK1,4.484882365185801
MUSK,0.14143423317780693
IKZF2,1.4758322748356896
GRN,7.3234608071881295
FAM13B,3.6157309107433595
ARHGAP31,1.2826596869006242
CENPQ,3.516686023313656
SARS1,7.194049502818938
RANBP3,5.454714355216004
ARID4A,2.88240692463001
EIPR1,4.71006604458515
PNPLA6,4.677419825557582
IFT88,2.7558495699997323
ALG1,4.334969418446181
ZCCHC8,4.216047163781694
ABCF2,4.560589434606846
CHPF2,4.447324643525368
LRRC7,0.500981210524975
FUT8,4.318564610966713
UBA6,4.337492756384749
GAB2,2.5367135617912484
ATP6V0A1,4.5224715658912364
PIAS1,3.750961997592974
SLC4A7,3.5625882260689354
APBA2,1.955234024237087
MAP2K3,5.003043919149856
EFCAB1,0.34951101182875655
TMSB10,11.891861582646932
ASTE1,2.382887635141923
RNF19A,4.247725567141758
PEX3,3.310182131414724
GABARAPL2,6.607503911959179
MYOC,0.10474894364859978
SH3YL1,4.273152830577157
FAM136A,5.7508227001995715
VCL,5.2457890613249925
DEPDC1B,4.102960597745608
DAPK2,1.2372842840563785
NSMAF,4.645263233749965
ADSS2,5.242491640822808
STAP1,0.4528169851543156
TIMP2,5.698360504219106
RFC1,4.90575750290918
TBC1D23,3.9956020426104177
CUL3,5.682066182530544
MYOM2,1.5775204894712567
OTC,0.04773907696678969
CYP46A1,0.28176008321483886
ZZZ3,4.062005332990133
SLC18A1,0.21641261080967153
USP2,1.2443288175514906
CASR,0.03451391029561231
TUBG2,3.6373397032548733
RPL26L1,6.4306078035079395
FLT4,0.6385267305701154
NSUN2,6.173406577655746
FBXO42,3.1152934665724272
MFAP3,3.8916367964629064
MRI1,3.758536939026695
METTL1,4.678699819395919
HOXC8,1.2502565948771442
AGA,4.2782518733152
PI4K2B,3.7490988046894
BOD1L1,4.108986757566152
MAT2B,5.606844951204388
TLL1,0.36465605135735774
EDC4,5.325574700261325
TRIO,5.540316530014298
VCAN,2.537895563782344
CLEC16A,3.402950239188051
MSR1,0.5564634721724881
CDH1,3.1095926743030065
MTREX,5.0171983524043275
DNAH5,1.0816325928349384
ZFYVE16,3.5305124318011205
RIPOR1,4.4755832205243316
C6,0.0589410140764503
RAI14,4.173725237256468
SOX30,0.15853147820252386
PNKP,5.122479364936982
BEST2,0.07673769707621637
PHLPP2,2.1810413378669042
SPDL1,5.225687289174428
STAU2,4.58303248998235
SLC66A1,3.6701965510763794
CTNS,3.33221671083014
RTN4R,1.9890656390038473
PHF23,5.005510650703287
CDH10,0.4321866321672839
INPP4A,3.217857385880087
RAB27B,1.5361996406510234
PSMA4,8.347752453913019
MYO16,0.2158527173503484
LSG1,5.0315364209574955
PARP3,3.471776760211699
TNC,3.2863781263797476
THAP3,3.7741443250348397
RIPOR3,0.8296173313962277
TDP1,4.117054539980112
AIFM2,3.263417096425202
C2orf83,0.008977325524725265
SPATA7,2.227266766500942
MED17,4.137841411915391
RETSAT,4.67967031640324
CAPG,5.414816734830595
AP2S1,7.519319868145512
USH2A,0.06400823472840134
ZPBP,0.014900007407388487
TG,0.42094574741936536
ADAM28,0.9833132034384762
BARX2,1.0632085942662197
DCUN1D1,4.0711541501549595
JADE2,3.560548682670636
ZIC2,1.7567816272737844
LCP2,0.8286406926591529
TRIT1,4.589803282131595
ADRB1,0.40178035646216975
GUCA2B,0.08069661019306919
CUL7,3.9954379861761153
CTNNA1,7.070249421467808
PHKA2,3.7249267939736144
CNTLN,2.138442006910715
EPHA3,0.6898484758187983
HSPA5,8.436585807608424
DSG2,3.9862992897816496
GEMIN8,3.4165779662726803
OFD1,3.6688562937952214
GPM6B,1.3573757340407877
MAGEC2,0.9166410384597636
PREX2,0.3206798275031141
WDR37,2.801866569996362
YTHDC2,3.4864165072220725
CTPS2,3.0988261117830236
ATP6V1H,5.083883071414715
POLR2B,5.910560357430759
FAM214A,3.3924339616981203
ARAP2,1.6046504774651276
TPR,5.166608298694826
CP,1.1458893098110805
KATNIP,3.09721497983211
DTNBP1,3.9588768997499075
XK,0.9699485606474803
ANO2,0.4276687942717196
C12orf4,3.5063331186878997
SCML1,2.8615245713972377
WWC3,2.8917173928918105
ARHGAP6,0.5726463560486018
FAM184B,0.1279590473049307
MAP4,6.000798309099069
GOPC,4.203634919515175
ROS1,0.293659420415754
USP28,3.99715307210405
HDAC9,2.7842219144256983
TSPAN17,4.771139847708142
NOP16,6.129288511220099
CC2D2A,2.645827997731826
RRM2B,3.754613126990471
ZNF800,3.1402492541970815
TNFRSF17,0.49160373128461854
SNX29,2.0303283608196847
LMO3,0.7725967888950066
MRPS10,5.3199968939800195
GUCA1A,0.08763069494023784
RSF1,4.311538040880777
VPS13D,3.584719111450804
CELF2,1.779860063706323
FAM120A,5.79169083855185
R3HDM1,4.5361745034109155
COL9A2,1.7145609836856586
KITLG,2.5999277070222804
ERCC8,3.443956421575015
ADAMTS6,1.1802917583085455
H6PD,3.0308954024247328
VAMP3,5.592651781811802
PER3,2.3147222494157984
UTS2,0.41211034908885663
TNFRSF9,0.7165178655302394
EPN3,1.4464253215650762
LTBP1,2.8003241805952936
RCN1,6.664980351057218
ELN,0.8214612485374125
RFC2,5.623220246601162
ARID1B,4.319511988073535
CLPTM1L,6.989754472138861
NEDD4L,4.40821287359321
FOXP3,0.2944520224255777
PPP1R3F,1.5786171054848255
HEXB,6.745682201664451
PTCD2,2.733952205490384
NEXMIF,0.21599145668920094
JKAMP,5.418368880250031
DKK3,3.3248198163621754
ARHGEF5,2.334178000540632
NFE2L3,3.966481366892289
MCUR1,3.6610570948720986
LIMA1,5.304010979362067
LETMD1,5.583473024764993
SLC4A8,1.2391770105564275
LAMC3,0.6474977936655324
PTGER3,0.40324473157293494
TNIP3,0.3951854498641066
MAPK9,4.48857362809899
COL23A1,0.455453501094345
BCAR1,4.278745942823651
FAM160A2,3.8193802774178933
HERPUD1,5.923932662609112
HOMER3,4.588685243573049
RAD51,4.24152880022711
POLQ,2.7623322830538055
PIK3CB,3.6599397596329535
CYBA,6.204648792389023
THOC3,5.834087063590913
HEBP2,4.0012095139189165
MPHOSPH9,4.087603757052438
PLEKHA5,3.493524840335027
PRSS8,2.2457544883968947
SIKE1,4.496467079259659
RRP12,4.448277011017255
FNIP2,2.4656940095705098
MSMO1,5.444565135648992
TTC17,5.155935710690702
ALX4,0.42586306611097147
FSTL4,0.5674210076597658
FOXN3,3.097036392261536
METTL24,0.13309089400945281
AKR7A2,5.060058046330315
MRTO4,5.428217205521393
NNAT,1.335357799362259
USE1,4.845724657545644
MCF2L2,0.8002472193804155
NRIP2,0.8279632817480572
LAMA3,2.9530607365619583
AP5M1,4.137845412194435
ANAPC4,4.066413800493847
KCNQ1,0.7864309719363028
TRAPPC3,5.996532971264625
THRAP3,5.738915151415146
PHPT1,7.260808191097394
ENTPD2,1.014067327067822
LY75,1.4334743131016545
ARID4B,3.7441774573742097
OPN3,3.319579169020631
SDCCAG8,4.010145706367141
PTPRN,0.8456303387807853
HHAT,1.8532577363419487
KIF1B,3.5798728926984094
FOXC1,1.9919405975107567
TBC1D22A,3.4298335151916253
SYNE2,4.0546868724889515
PLEKHH1,2.2287603622416694
ATP9A,3.1966325126715587
SPO11,0.002858625873253588
CBLN4,0.030431152315391286
CHRDL2,0.18334882746390105
FAM168A,3.715416011160725
RELT,3.0184306194787243
GALC,2.5810811132947835
NOP58,6.6281522891113385
SZRD1,6.127333477460726
KCNH2,1.388920543546878
CUL1,5.261555781731794
FAM114A2,3.723108173701216
CYFIP2,3.2183794698113144
TAB2,4.6994652030679855
GINM1,4.763243095058953
EIF2AK2,3.8420758515806583
USP36,4.790464362096366
KMT2C,4.312600853158117
MCOLN3,1.6521619296485257
CCDC85A,0.388216140892464
PUM2,5.0362199079508905
MRPL43,6.00182574396689
ITIH4,0.889836967057661
ITIH1,0.05206847066951049
HPF1,4.510034129958246
ZFR,5.593819152069288
ZNF280C,1.9519277364460015
NPFFR2,0.39568149014370685
PHF21B,0.7627736673279176
TRAF1,1.5621567220652255
RC3H2,3.914526892275873
IL17RB,1.6933525076194131
TRAF3IP2,3.8119933497039544
GYG2,1.4791291107180415
DCBLD2,4.749674365295346
SERPINB3,0.4563389735175669
SOAT1,3.6992437536801064
PKP2,2.546656970273705
MSH4,0.08036694580434563
F7,0.19292174749885768
GDI2,7.177790494058464
PRDM1,1.0895149334400782
ATG5,4.234025697339633
TMCC3,1.359446249823498
PITHD1,5.431883609181967
MTA3,4.547193967769465
USP13,3.7058296415342884
ATP11B,4.244218447683946
LAMC2,3.086838050505733
CDK14,2.476030640657807
SEC61A1,7.129633193645788
PPP1R12A,4.798829241918021
RASGRF1,0.7467293299202452
CAMK2B,0.6638617553593761
CROCC,3.252924996507917
POLR3E,4.630645551310525
ATP2B4,4.239419620197871
ZC3H11A,5.7454639829598415
RIOK2,3.8199666175926925
YIPF1,4.089563954630437
NDC1,4.674180465912324
DGKG,1.3763046770241487
FLYWCH1,3.944435506510682
UNKL,3.232207964723911
TBXAS1,1.9022684152626412
PARP12,3.7347770231892756
ALDH18A1,5.567818634225704
TARBP1,4.59818901104567
GATB,3.8221811421125604
MXD1,2.366401844560603
CDK17,3.586651252413865
DNAJC25,3.076868990914137
SLC2A3,3.0887347929453046
PSD,1.5049774724926286
CTDP1,3.337889361048259
YBX3,6.871205973020294
STYK1,1.49272975090103
WNK1,5.375222452588806
CCAR1,5.642835489874301
OGFR,4.704315746943834
GNA15,1.520531363807502
CREB3L3,0.29559239308002394
PIGV,3.0476708500676235
PTPRU,2.9765002735729493
SNRNP40,5.606908834996355
RIMBP2,0.5778082816878102
COL11A1,1.032653442950773
QSER1,3.537996189451235
MPC1,4.935233289680659
ACAA1,5.126761788863422
BCAT1,3.1977725303717066
HDAC7,4.852434535189513
LZTS1,1.2305980953544442
PRDM6,0.30823208555077797
WNT8A,0.025273762352722717
SPAG4,2.376889321271779
NCKAP1,5.3919886297457005
MRPS35,5.926390300299534
GUCY1B1,1.1764584734482015
SFSWAP,4.56184920337321
TNK2,4.1839151580530505
MON2,3.686467051849587
CDH3,2.556446117335518
ARSF,0.04428304742991038
GPBP1,5.293751502547295
DGAT2,2.4794245470702356
ZNF112,1.5082925883947544
CS,6.931781067996997
LTK,0.7643820260133634
MRPS24,7.235384186847053
ELMO2,4.4712433835463035
WAPL,4.379233084864994
VMP1,6.545823888781203
APPBP2,3.637701610220471
POLD1,5.045696475373187
SEZ6,0.5396432182998802
EIF4B,7.667899665848629
SLC6A16,0.5833242012194063
BICRA,2.408192805305629
SPHK2,3.4252728188341384
RPL18,10.608010838701759
CA11,3.1719888918724966
ISOC2,5.4478196139024
U2AF2,7.410645884086444
EPN1,5.763428425983973
MED29,4.390902157645038
AHRR,1.951621398396722
GSC2,0.03330991344389536
ZNF275,2.504784876147381
MTMR1,3.937734332112196
GPC1,4.427369863105884
ADCK1,2.689799263413261
HAGH,5.2642678931592854
RNF4,5.294649503151981
CASP8,4.251005906205815
LIMCH1,3.0199559542547405
INTS13,4.789138057700628
TM7SF3,5.929781804959199
DLX3,0.7916742383731742
SPA17,2.7645646499326677
TSPAN32,0.5075314981598169
CCN5,0.7706763518754607
DMRT3,0.12329382625628343
ST3GAL6,1.9411866761831988
ATP2C2,1.4816532209010342
NGFR,1.2810867389041711
CDON,1.6650627696768927
TAF2,4.397189694899082
HIPK2,3.107325261476154
TNPO3,4.937152003774821
RFXANK,6.060837040166158
TMEM161A,4.583049286996057
LPAR2,3.4046009939739665
CTSA,6.542088381351417
SUGP2,5.3542132768601745
SLC12A2,3.2082735434047946
SNX24,3.542577487103557
EYA2,1.086378086920479
CNN2,6.43053910026695
ABCA7,3.115617051948362
SNCAIP,0.6454275885220523
DDX20,3.5649181731102364
BTBD1,5.183263338616076
FAR2,2.3869636832482084
BCAS1,0.9259192372390572
POU1F1,0.02621633153963093
CHI3L2,0.9657283620911493
SBNO2,4.308267899983449
PMS1,3.6873330287123127
HMG20B,5.650539722765952
CALCRL,0.6777644122120811
TAF11,4.623944563333978
ANKS1A,3.1628380481523113
AP3D1,6.035180311459886
ZNF76,4.223215973585595
SLC9A3R2,4.334573503999233
NTHL1,4.637743813973954
UHRF1BP1,2.9353559382832826
GNAI3,4.013488534981646
IPO5,6.267726243373603
OAT,5.931169759714707
WDR3,4.257633400123204
PKN2,4.15856275500737
WDR18,5.087538549894992
TRAM2,3.9110130656269275
NTN1,1.2223949855499312
GLP2R,0.36112804641848234
MCM10,3.5641313288068712
DGKA,4.358907426882471
ERBB3,3.0194801416632555
ROPN1,0.29878035220517435
ANKRD44,1.6587746338536953
KARS1,6.9225838245778615
ADAT1,4.091378183493722
PDIA5,4.518063240192821
TBC1D22B,3.1086061052443497
NDUFB4,7.806267582817174
SPEN,4.605511682843346
MYLK,2.8566387159479603
ZC3H15,6.157327868148787
MAP2K4,3.6087717438886333
PACC1,3.53032526268024
SNAP91,0.4092112198187111
SLK,4.014067527065527
CYB5R4,3.4480861898679165
COL17A1,2.10219574709156
GSTO2,2.0642063299454696
SEC61A2,2.9711935290500806
PRKCQ,0.8342151396005423
TLE2,2.1758298144564723
ASB1,4.223706550710281
FAM107B,4.482513279078536
ME1,3.06201619444941
TBC1D1,4.726039812764032
CDK13,4.380923190419274
MTHFD2,7.032387268423127
SLC9A7,2.8793926954220797
FOXJ2,2.985435931929072
YBX1,9.550971300462878
PDE4A,1.9551004047215021
PPP2R5A,4.005276444507161
CTNNA2,0.48757642293330666
ELAVL1,5.578436529257393
TIE1,0.5708559018264336
DIP2B,3.5429278013626644
SMARCD1,5.6002681924592785
KDM4A,4.374855234256651
NFYC,5.09466426026497
ZMYND12,0.6118738123590486
SLC9A3,1.5623775008934067
NGEF,1.9459664640007597
ASPM,4.196492910299495
CD84,0.3177210189772485
ELOVL1,6.519744760026826
SPI1,0.6869684249055169
POLR1H,5.27026443331339
MPPED2,0.601191063137608
CLDN18,0.2514941734875615
ZBTB11,3.4340544271419406
ATXN3,4.0075357792464965
GOLGA5,4.62580342483871
FGFR2,1.914947881845273
LRRC40,3.7930968395201274
